ID,アイテム名,分類,入手方法,主用途,説明
001,漂流木,素材,浜辺や林で採取,クラフト素材,軽くて加工しやすい木材
002,潮風の枝,素材,低木から採取,クラフト素材,しなやかで弓材に向く枝
003,椰子の葉,素材,海岸の木から採取,クラフト素材,包帯や屋根材に使える葉
004,星砂,素材,浜辺で採取,クラフト素材,研磨や護符作りに使う細かな砂
005,月見草,素材,草地で採取,調合素材,夜に香りが強くなる白い草
006,つる草,素材,林で採取,クラフト素材,縄や固定具に使える丈夫なつる
007,樹液のしずく,素材,木を調べて採取,クラフト素材,接着や松明の燃料になる
008,まるいし,素材,川辺や山道で採取,クラフト素材,石器の基本材料
009,黒曜石片,素材,山道で採取,クラフト素材,鋭く割れて刃物向き
010,発光苔,素材,洞窟や岩陰で採取,調合素材,青白く光る湿った苔
011,乾いた海藻,素材,浜辺で採取,クラフト素材,燃料や包材として使える
012,ふわふわキノコ,素材,森で採取,調合素材,胞子が淡く舞う小型のキノコ
013,島バナナ,回復拾得,地面に落ちている,HP小回復,甘くて手早く食べられる果実
014,潮リンゴ,回復拾得,地面に落ちている,HP小回復,ほんのり塩味のする不思議な果物
015,ココヤシの実,回復拾得,地面に落ちている,HP中回復,果汁で体力を戻せる実
016,甘露ベリー,回復拾得,地面に落ちている,HP小回復,群生して落ちている赤い実
017,夕焼けパパイヤ,回復拾得,地面に落ちている,HP中回復,熟すと橙色に光る南国果実
018,ひんやりメロン,回復拾得,地面に落ちている,HP中回復,食べると熱気がやわらぐ果実
019,あまつゆハーブ,回復拾得,地面に落ちている,HP微回復,噛むと甘い汁が出る草
020,星露キノコ,回復拾得,地面に落ちている,HP小回復,朝露を含んだ青いキノコ
021,粗縄,加工素材,つる草からクラフト,クラフト素材,簡単な道具や罠の基礎になる
022,焚き木束,加工素材,漂流木と乾いた海藻でクラフト,燃料,焚き火や祭壇の点火に使う
023,草の包帯,消耗品,椰子の葉と潮蜜ハーブでクラフト,HP回復,簡易的に傷をふさぐ包帯
024,ひかりランタン,道具,樹液のしずくと発光苔でクラフト,探索補助,暗所を照らす小さな灯り
025,石斧,道具,丸石と漂流木でクラフト,採取効率向上,木材採取がしやすくなる
026,石つるはし,道具,丸石と粗縄でクラフト,採取効率向上,鉱石や硬い岩を砕ける
027,潮風の弓,道具,潮風の枝と粗縄でクラフト,戦闘,軽くて扱いやすい即席の弓
028,星砂の研磨粉,加工素材,星砂を加工して作成,強化素材,刃物や護符の仕上げに使う
029,けむりだま,消耗品,乾いた海藻とふわふわキノコでクラフト,回避補助,煙で敵の視界を乱す
030,保存水筒,道具,ココヤシの実を加工して作成,探索補助,回復液を持ち運べる容器
031,おまもりの塩袋,消耗品,海塩採取ポイントで入手,戦闘補助,短時間だけふしぎな敵の接近を弱める
032,ほこらのかぎかけら,重要品,山道の遺跡で発見,進行用,ほこらを開く鍵の欠片
033,青星の欠片,レア素材,夜の浜辺で発見,強化素材,星の力を帯びた鉱物片
034,ふるびたコンパス,重要品,漂着物から発見,探索補助,次の目的地の方角を示す
035,船長の赤布,重要品,イベントで入手,クラフト素材,マリンらしさを宿した赤い布
036,無線機バッテリー,重要品,物資箱から入手,進行用,ころねとの通信維持に必要
037,おつきみレンズ,レア素材,洞窟奥で発見,探索補助,隠れた印を月の光で映し出す
038,きんいろギア,レア素材,遺跡の仕掛けから入手,進行用,古代装置の修復に使う
039,風切り羽根,素材,高台や巣から採取,クラフト素材,矢や護符の安定化に使える
040,ねがいのロープ,加工素材,粗縄と月見草でクラフト,進行用,ほこらで使う特別な縄
041,きらきらクロス,伝説,山頂祭壇で入手,戦闘,ふしぎな敵に強い力を持つ特別な宝物
042,ホシガールの星石,伝説,ボス戦後に入手,強化素材,ふしぎな力を閉じ込めた結晶
043,よぞらの花かんむり,レア装備,夜の花畑でクラフト,状態耐性,びっくりや混乱に強くなる冠
044,星あかりのおまもり,装備,青星の欠片からクラフト,探索補助,夜でも周囲を見やすくする
045,びっくりストップふだ,消耗品,祭壇周辺で発見,戦闘補助,ふしぎな敵の動きを一瞬止める札
046,ひかるインク,加工素材,発光苔と樹液でクラフト,進行用,古い地図やメモの解読に使う
047,海賊旗の切れ端,重要品,イベントで入手,クラフト素材,士気を高める特別な布片
048,やまのうえのきよみず,消耗品,祭壇で採取,HP全回復,一度だけ大きく体力を回復する水
049,ねがい星ボトル,レア消耗品,星露キノコとおつきみレンズでクラフト,蘇生補助,たおれても一度だけ立て直せる
050,ころねの補給箱,特別品,無線イベントで投下,回復補給,食料と消耗品がまとめて入った支援箱
bomb_capacity_up,爆弾アップ,パワーアップ,爆弾設置数が増える,一度に置ける爆弾数+1,死亡するまで爆弾を同時に多く置ける
